Date,RELIANCE.NS_rsi_14,RELIANCE.NS_sma_20,RELIANCE.NS_sma_50,RELIANCE.NS_bb_upper,RELIANCE.NS_bb_middle,RELIANCE.NS_bb_lower,TCS.NS_rsi_14,TCS.NS_sma_20,TCS.NS_sma_50,TCS.NS_bb_upper,TCS.NS_bb_middle,TCS.NS_bb_lower,INFY.NS_rsi_14,INFY.NS_sma_20,INFY.NS_sma_50,INFY.NS_bb_upper,INFY.NS_bb_middle,INFY.NS_bb_lower
2025-04-03,47.12362959898004,1253.117498779297,1242.5030004882813,1308.2238930762733,1253.117498779297,1198.0111044823207,38.91577692409591,3531.2901245117187,3745.2439501953127,3658.535967897127,3531.2901245117187,3404.04428112631,34.277635239305795,1587.1609741210937,1720.480654296875,1704.3099303261479,1587.1609741210937,1470.0120179160394
2025-04-04,37.99997151690776,1254.5724975585938,1241.055,1302.072850741313,1254.5724975585938,1207.0721443758746,31.228364518137425,3519.016711425781,3728.2509814453124,3691.769108201968,3519.016711425781,3346.2643146495943,30.802659491250324,1574.3487426757813,1712.4969873046875,1700.8517010736728,1574.3487426757813,1447.8457842778898
2025-04-07,32.579165525617924,1252.3774963378905,1239.0959985351562,1311.3097286690677,1252.3774963378905,1193.4452640067134,30.577503333699823,3502.78349609375,3710.9765185546876,3712.481152532895,3502.78349609375,3293.0858396546046,24.47173560279866,1558.6151184082032,1703.2530517578125,1700.7877055725512,1558.6151184082032,1416.4425312438552
2025-04-08,37.49170519606464,1248.997491455078,1237.8139965820312,1315.783156455729,1248.997491455078,1182.211826454427,32.78397829531217,3487.011193847656,3693.9399462890624,3718.744192042925,3487.011193847656,3255.2781956523872,30.36649514525061,1545.9335510253907,1694.4439965820313,1694.1675130381773,1545.9335510253907,1397.699589012604
2025-04-09,36.03703041776436,1246.344989013672,1236.9339965820313,1318.8701622406206,1246.344989013672,1173.8198157867232,30.441886377788634,3470.009814453125,3677.7131787109374,3728.18986143621,3470.009814453125,3211.8297674700398,28.849041328368273,1531.2526123046875,1686.194072265625,1682.6062873296821,1531.2526123046875,1379.898937279693
2025-04-11,39.222816530086504,1244.9274841308593,1236.6249951171876,1318.47506003616,1244.9274841308593,1171.3799082255587,21.867849281021066,3452.9712524414062,3661.6796875,3734.5633642009416,3452.9712524414062,3171.379140681871,24.804406239388,1518.8200439453126,1677.9047045898437,1673.8696567289167,1518.8200439453126,1363.7704311617085
2025-04-15,42.657479945049786,1244.07998046875,1236.7169946289061,1317.4297569791681,1244.07998046875,1170.7302039583317,22.09909924923548,3440.184912109375,3644.797744140625,3740.1316386791204,3440.184912109375,3140.2381855396297,29.313123013491037,1510.6919067382812,1668.92603515625,1671.64617804288,1510.6919067382812,1349.7376354336825
2025-04-16,35.849484240041406,1243.6499816894532,1236.4419946289063,1317.0062976358777,1243.6499816894532,1170.2936657430287,18.623558781185423,3428.4269287109373,3628.4183349609375,3739.994177210491,3428.4269287109373,3116.8596802113834,28.36846641154905,1502.4700927734375,1660.113037109375,1669.9322226783183,1502.4700927734375,1335.0079628685567
2025-04-17,47.72302671792154,1245.4324829101563,1236.6299951171875,1320.0199032308872,1245.4324829101563,1170.8450625894254,18.087997248853867,3418.574499511719,3612.2916748046873,3737.398896155352,3418.574499511719,3099.750102868086,22.930455610878838,1494.0609069824218,1651.0347680664063,1664.5340707253526,1494.0609069824218,1323.587743239491
2025-04-21,54.50712081465884,1248.2649841308594,1237.2479956054688,1326.034632025062,1248.2649841308594,1170.4953362366568,22.095907173678796,3409.8470825195313,3597.3931005859376,3732.634761986208,3409.8470825195313,3087.0594030528546,30.89202694809137,1487.2048706054688,1643.1388647460938,1656.182141845089,1487.2048706054688,1318.2275993658486
2025-04-22,52.618856276687524,1250.46748046875,1238.153994140625,1330.5644080552931,1250.46748046875,1170.3705528822068,19.646729925445328,3400.7925537109377,3582.4410009765625,3727.05457744556,3400.7925537109377,3074.5305299763154,28.093569216735887,1479.1309692382813,1634.4511010742187,1647.9814613072397,1479.1309692382813,1310.280477169323
2025-04-23,54.90350965336169,1252.0099792480469,1238.4499951171874,1334.7658746780228,1252.0099792480469,1169.254083818071,34.12510881227605,3393.351208496094,3568.6822998046873,3713.772751659031,3393.351208496094,3072.9296653331567,38.91140691485778,1472.1960388183593,1626.0907299804687,1632.5088855089678,1472.1960388183593,1311.8831921277508
2025-04-24,60.51502145922747,1253.272479248047,1238.9179956054688,1338.3302438616438,1253.272479248047,1168.21471463445,36.782436370158734,3384.603955078125,3555.0137890625,3696.860820908808,3384.603955078125,3072.3470892474425,42.95577251397242,1466.2225830078125,1617.6958471679689,1619.8850476532396,1466.2225830078125,1312.5601183623855
2025-04-25,60.580021482277125,1253.187481689453,1239.2949951171875,1338.042959319416,1253.187481689453,1168.3320040594901,42.056479930962084,3375.6361694335938,3542.430634765625,3672.115313245064,3375.6361694335938,3079.1570256221235,40.70431265409739,1460.673162841797,1609.1076831054688,1606.2606108133582,1460.673162841797,1315.0857148702357
2025-04-28,70.10380269314861,1257.3549865722657,1241.3369970703125,1355.955919846826,1257.3549865722657,1158.7540532977055,54.31413342322318,3365.0180419921876,3530.8158740234376,3638.103061432748,3365.0180419921876,3091.9330225516273,47.78120255434077,1453.4571960449218,1600.793662109375,1582.0619133595067,1453.4571960449218,1324.852478730337
